Rank,University,Country,FTE_students,Staff_students,International_students_pct,Female_male_ratio,Overall,Teaching,Research,Citations,Industry_income,International_outlook
1001+,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,"3,621",10.7,2%,n/a,10.7–22.1,20.3,10.5,12.9,34.4,18.0
1001+,Federal University of Itajubá,Brazil,"9,449",18.6,1%,29 : 71,10.7–22.1,16.3,8.9,19.8,36.5,22.7
1001+,Federal University of Lavras,Brazil,"14,024",19.4,1%,50 : 50,10.7–22.1,23.9,16.8,11.2,54.8,18.8
1001+,Federal University of Mato Grosso do Sul,Brazil,"25,018",18.0,0%,49 : 51,10.7–22.1,17.1,6.9,7.4,34.4,16.8
1001+,Universidade Federal de Ouro Preto (UFOP),Brazil,"13,823",16.3,1%,53 : 47,10.7–22.1,16.3,9.6,19.4,36.4,20.6
1001+,Federal University of Pará,Brazil,"48,114",19.6,0%,44 : 56,10.7–22.1,17.1,9.6,11.8,34.8,24.0
1001+,Universidade Federal do Paraná (UFPR),Brazil,"34,528",14.2,0%,49 : 51,10.7–22.1,24.4,11.5,12.7,35.1,22.2
1001+,Federal University of Pernambuco,Brazil,"34,072",12.8,1%,50 : 50,10.7–22.1,26.9,9.2,14.3,35.9,20.8
1001+,Federal University of Rio Grande do Norte (UFRN),Brazil,"42,573",17.1,0%,54 : 46,10.7–22.1,19.6,8.7,19.0,41.6,23.2
1001+,Universidade Federal Rural do Semi-Arido,Brazil,"5,872",7.7,0%,42 : 58,10.7–22.1,27.5,7.7,1.7,34.4,14.0
1001+,Federal University of Santa Maria,Brazil,"27,285",14.1,0%,54 : 46,10.7–22.1,20.4,8.8,13.5,35.0,17.4
1001+,Federal University of São Carlos,Brazil,"19,134",14.6,2%,49 : 51,10.7–22.1,26.2,13.4,17.3,41.2,24.5
1001+,Universidade Tecnológica Federal do Paraná (UTFPR),Brazil,"35,177",14.0,1%,35 : 65,10.7–22.1,15.4,9.2,8.6,37.3,19.3
1001+,Federal University of Viçosa,Brazil,"17,595",14.0,2%,50 : 50,10.7–22.1,28.1,14.3,12.3,47.6,20.1
1001+,Feng Chia University,Taiwan,"19,840",23.1,16%,37 : 63,10.7–22.1,17.7,17.3,17.2,39.5,40.6
1001+,Fluminense Federal University,Brazil,"55,502",15.4,0%,50 : 50,10.7–22.1,20.0,11.3,14.8,35.2,23.5
1001+,University of Fortaleza (UNIFOR),Brazil,"23,923",15.2,0%,49 : 51,10.7–22.1,14.8,7.3,41.4,34.4,29.1
1001+,University of Fukui,Japan,"5,020",9.3,4%,30 : 70,10.7–22.1,19.7,10.7,9.7,39.7,21.6
1001+,Universitas Gadjah Mada,Indonesia,"38,310",8.6,2%,58 : 42,10.7–22.1,23.4,11.0,15.7,61.4,34.1
1001+,Gazi University,Turkey,"77,346",30.3,3%,49 : 51,10.7–22.1,18.8,10.6,13.2,40.5,16.6
1001+,Gaziantep University,Turkey,"37,903",38.1,6%,38 : 62,10.7–22.1,17.3,9.0,15.6,34.7,23.8
1001+,University of Gdańsk,Poland,"27,859",17.1,2%,69 : 31,10.7–22.1,15.7,10.6,19.7,34.7,29.9
1001+,Gebze Technical University,Turkey,"7,487",27.4,2%,34 : 66,10.7–22.1,21.0,14.1,19.4,36.7,27.5
1001+,Gifu University,Japan,"7,194",7.6,4%,36 : 64,10.7–22.1,23.5,11.8,16.9,38.5,23.1
1001+,GITAM University,India,"17,226",14.2,2%,30 : 70,10.7–22.1,16.7,7.7,15.0,35.2,19.6
1001+,Government College University Lahore,Pakistan,"9,986",24.1,1%,43 : 57,10.7–22.1,14.0,9.1,5.7,34.4,35.3
1001+,Grigore T. Popa University of Medicine and Pharmacy,Romania,"9,375",11.1,28%,66 : 34,10.7–22.1,17.6,7.7,14.5,34.6,41.2
1001+,University of Guadalajara,Mexico,"123,932",55.6,0%,52 : 48,10.7–22.1,15.4,7.8,10.0,34.4,28.3
1001+,University of Guanajuato,Mexico,"26,034",19.8,3%,53 : 47,10.7–22.1,16.4,8.7,13.5,34.6,35.7
1001+,Guangxi University,China,"36,083",16.9,4%,47 : 53,10.7–22.1,16.1,11.3,17.9,42.8,20.6
1001+,Gubkin Russian State University of Oil and Gas,Russian Federation,"8,406",11.8,7%,36 : 64,10.7–22.1,17.8,11.5,8.2,61.5,22.8
1001+,University of Guilan,Iran,"16,240",28.2,0%,61 : 39,10.7–22.1,20.4,13.6,29.5,34.8,15.7
1001+,Gunma University,Japan,"6,473",7.7,3%,37 : 63,10.7–22.1,27.4,12.9,17.8,37.6,19.4
1001+,Hallym University,South Korea,"8,108",9.8,5%,n/a,10.7–22.1,19.0,15.2,16.0,35.4,21.5
1001+,The Hashemite University,Jordan,"15,654",17.8,7%,63 : 37,10.7–22.1,13.5,11.3,8.3,34.4,50.9
1001+,Université Hassan II de Casablanca,Morocco,"110,125",27.8,2%,54 : 46,10.7–22.1,15.9,7.6,24.8,36.4,34.4
1001+,University of Havana,Cuba,"14,856",9.8,7%,71 : 29,10.7–22.1,21.6,9.0,9.5,40.2,52.5
1001+,Helwan University,Egypt,"113,043",21.9,1%,51 : 49,10.7–22.1,14.7,8.6,20.0,35.1,40.2
1001+,Hosei University,Japan,"30,969",40.7,2%,37 : 63,10.7–22.1,16.8,9.7,25.9,35.2,25.8
1001+,University of Hradec Králové,Czech Republic,"6,611",15.1,4%,60 : 40,10.7–22.1,16.8,10.8,12.7,34.7,33.1
1001+,Huaqiao University,China,"30,491",17.7,11%,50 : 50,10.7–22.1,14.7,11.3,27.3,37.2,48.0
1001+,University of Hyogo,Japan,"6,566",12.8,3%,40 : 60,10.7–22.1,16.7,12.1,10.4,46.4,18.5
1001+,Ibaraki University,Japan,"8,181",15.2,3%,36 : 64,10.7–22.1,16.4,10.0,8.1,40.2,23.4
1001+,Ibn Tofaïl University,Morocco,"49,042",82.0,2%,48 : 52,10.7–22.1,18.1,8.9,17.9,35.5,25.3
1001+,Imam Abdulrahman Bin Faisal University,Saudi Arabia,"24,763",8.5,4%,77 : 23,10.7–22.1,21.1,8.0,15.3,34.8,73.2
1001+,Incheon National University,South Korea,"13,499",22.3,3%,43 : 57,10.7–22.1,16.1,17.0,21.9,37.0,29.3
1001+,Universidad Industrial de Santander (UIS),Colombia,"20,851",24.5,0%,46 : 54,10.7–22.1,14.5,9.9,35.1,34.7,38.7
1001+,IPB University,Indonesia,"22,289",12.4,3%,58 : 42,10.7–22.1,19.0,10.6,8.9,70.7,42.3
1001+,I-Shou University,Taiwan,"13,970",28.5,14%,48 : 52,10.7–22.1,15.1,17.0,13.3,45.3,35.2
1001+,Istanbul Medipol University,Turkey,"26,215",29.4,2%,66 : 34,10.7–22.1,12.5,9.3,10.8,35.9,20.9
1001+,Ivane Javakhishvili Tbilisi State University,Georgia,"19,670",23.9,2%,62 : 38,10.7–22.1,14.7,9.4,4.6,34.8,45.9
1001+,Ivan Franko National University of Lviv,Ukraine,"16,220",8.6,1%,69 : 31,10.7–22.1,21.6,7.9,4.3,34.4,36.6
1001+,Iwate University,Japan,"5,516",13.8,3%,37 : 63,10.7–22.1,19.5,9.8,12.0,42.1,22.4
1001+,Izmir Institute of Technology,Turkey,"5,090",19.6,4%,46 : 54,10.7–22.1,19.4,11.0,29.4,38.9,30.4
1001+,Kagawa University,Japan,"6,392",9.7,2%,41 : 59,10.7–22.1,20.9,11.7,28.5,40.0,28.0
1001+,Kagoshima University,Japan,"10,541",10.1,3%,38 : 62,10.7–22.1,21.4,11.4,18.0,42.9,23.0
1001+,Kanagawa University,Japan,"18,104",14.6,3%,28 : 72,10.7–22.1,14.6,7.5,12.3,34.8,27.7
1001+,Kangwon National University,South Korea,"23,127",23.1,3%,41 : 59,10.7–22.1,17.6,15.0,17.8,36.3,21.1
1001+,Kansai University,Japan,"30,346",11.2,3%,39 : 61,10.7–22.1,24.3,8.0,6.9,35.4,24.6
1001+,Kasetsart University,Thailand,"68,067",22.2,1%,62 : 38,10.7–22.1,18.6,12.8,10.3,59.8,37.1
1001+,Kaunas University of Technology,Lithuania,"9,956",14.7,6%,38 : 62,10.7–22.1,16.5,11.4,5.6,38.9,30.4
1001+,Kazan National Research Technological University,Russian Federation,"15,260",10.7,11%,45 : 55,10.7–22.1,17.8,8.4,10.5,49.0,25.2
1001+,Kharazmi University,Iran,"12,656",20.9,1%,57 : 43,10.7–22.1,28.0,12.7,21.2,44.7,17.1
1001+,Khon Kaen University,Thailand,"38,655",19.7,2%,51 : 49,10.7–22.1,21.6,12.0,18.0,55.2,31.1
1001+,KIIT University,India,"21,390",13.1,2%,41 : 59,10.7–22.1,16.9,11.5,25.9,59.5,15.9
1001+,King Mongkut’s Institute of Technology Ladkrabang,Thailand,"23,539",21.7,1%,53 : 47,10.7–22.1,17.8,19.5,6.7,82.0,19.6
1001+,King Mongkut's University of Technology North Bangkok,Thailand,"26,846",24.9,0%,42 : 58,10.7–22.1,15.1,9.9,10.1,41.9,20.9
1001+,King Mongkut’s University of Technology Thonburi,Thailand,"16,126",21.4,3%,47 : 53,10.7–22.1,17.3,16.7,23.6,74.0,29.2
1001+,Kitasato University,Japan,"8,503",5.4,0%,53 : 47,10.7–22.1,24.0,9.9,18.2,39.5,16.3
1001+,Kochi University,Japan,"5,469",8.1,1%,44 : 56,10.7–22.1,19.9,10.7,20.7,40.9,24.2
1001+,Kogakuin University,Japan,"6,505",17.4,1%,17 : 83,10.7–22.1,17.2,9.8,8.8,42.0,18.7
1001+,Kookmin University,South Korea,"17,081",11.3,10%,46 : 54,10.7–22.1,18.2,10.4,16.4,38.4,29.3
1001+,Kwansei Gakuin University,Japan,"24,766",23.8,3%,48 : 52,10.7–22.1,15.4,9.0,13.4,35.3,32.3
1001+,Kyoto Institute of Technology,Japan,"3,989",13.0,5%,26 : 74,10.7–22.1,21.5,15.9,10.3,41.3,22.1
1001+,Kyushu Institute of Technology (Kyutech),Japan,"5,653",16.2,4%,13 : 87,10.7–22.1,18.7,12.4,31.0,47.4,29.3
1001+,Latvia University of Life Sciences and Technologies,Latvia,"4,216",36.9,1%,49 : 51,10.7–22.1,17.4,17.6,5.2,36.9,16.6
1001+,University of León,Spain,"13,606",16.1,13%,56 : 44,10.7–22.1,17.9,11.2,25.4,36.7,43.4
1001+,University of Lethbridge,Canada,"6,996",12.9,12%,n/a,10.7–22.1,16.7,12.4,22.3,34.5,57.6
1001+,L.N. Gumilyov Eurasian National University,Kazakhstan,"17,205",5.3,4%,n/a,10.7–22.1,21.6,7.5,16.6,34.4,51.0
1001+,Lobachevsky State University of Nizhni Novgorod,Russian Federation,"18,077",7.9,7%,53 : 47,10.7–22.1,25.6,11.6,12.4,43.7,28.6
1001+,University of Łódź,Poland,"31,192",14.1,5%,65 : 35,10.7–22.1,17.1,10.3,13.4,34.7,24.4
1001+,Lodz University of Technology,Poland,"16,372",13.0,4%,41 : 59,10.7–22.1,16.3,11.1,18.0,37.8,23.0
1001+,London South Bank University,United Kingdom,"12,168",16.5,33%,56 : 44,10.7–22.1,15.4,10.4,18.1,34.8,75.3
1001+,Londrina State University,Brazil,"26,685",15.3,1%,57 : 43,10.7–22.1,21.4,13.3,16.3,34.4,18.7
1001+,Maharaja Sayajirao University of Baroda,India,"39,252",27.2,0%,55 : 45,10.7–22.1,14.1,9.3,17.2,34.9,14.4
1001+,Mahasarakham University,Thailand,"38,192",29.3,0%,67 : 33,10.7–22.1,18.5,8.0,11.0,35.5,26.1
1001+,Universiti Malaysia Sarawak (UNIMAS),Malaysia,"15,973",18.8,6%,65 : 35,10.7–22.1,17.8,8.5,10.2,34.7,39.5
1001+,Manipal Academy of Higher Education,India,"23,082",8.6,11%,45 : 55,10.7–22.1,24.1,11.6,9.3,40.3,31.5
1001+,University of Manouba,Tunisia,"18,361",13.5,1%,66 : 34,10.7–22.1,19.4,7.7,24.5,34.4,41.1
1001+,Marmara University,Turkey,"59,480",29.1,4%,49 : 51,10.7–22.1,21.3,8.9,19.4,34.6,22.9
1001+,University of Marrakech Cadi Ayyad,Morocco,"102,000",65.7,1%,54 : 46,10.7–22.1,18.0,8.5,22.7,35.4,41.1
1001+,Meiji University,Japan,"33,309",11.7,4%,34 : 66,10.7–22.1,17.7,8.6,11.3,35.6,25.9
1001+,Meijo University,Japan,"15,412",31.4,1%,29 : 71,10.7–22.1,15.6,10.0,11.6,35.5,26.2
1001+,Mendel University in Brno,Czech Republic,"7,215",14.4,16%,60 : 40,10.7–22.1,18.4,14.7,7.3,36.0,39.2
1001+,Menoufia University,Egypt,"84,587",36.4,1%,45 : 55,10.7–22.1,15.0,7.9,24.9,36.5,35.2
1001+,M’Hamed Bougara University of Boumerdès,Algeria,"31,075",21.1,0%,60 : 40,10.7–22.1,13.3,7.0,11.1,34.5,29.2
1001+,Universidad Michoacana de San Nicolás de Hidalgo,Mexico,"40,381",30.2,1%,52 : 48,10.7–22.1,13.4,10.2,11.3,35.4,29.8
1001+,Mie University,Japan,"7,118",9.5,3%,37 : 63,10.7–22.1,20.9,11.8,20.7,43.7,20.5
1001+,Ming Chuan University,Taiwan,"18,590",22.7,12%,60 : 40,10.7–22.1,13.6,11.1,10.3,35.0,30.4
1001+,Minia University,Egypt,"59,181",15.6,1%,60 : 40,10.7–22.1,15.5,7.2,23.5,34.5,45.0
1001+,MIREA - Russian Technological University,Russian Federation,"19,965",17.0,3%,33 : 67,10.7–22.1,15.1,9.6,4.3,58.4,17.5
1001+,University of Miyazaki,Japan,"5,488",7.9,3%,35 : 65,10.7–22.1,20.5,9.9,21.1,36.3,23.1
1001+,Mohammed V University of Rabat,Morocco,"81,914",33.4,5%,57 : 43,10.7–22.1,28.2,9.9,16.7,41.6,27.8
1001+,University of Monastir,Tunisia,"19,973",9.7,1%,68 : 32,10.7–22.1,20.5,8.9,12.5,34.4,43.2
1001+,University of Montenegro,Montenegro,"19,171",27.3,2%,56 : 44,10.7–22.1,12.6,9.7,15.2,34.8,43.8
1001+,Moscow Aviation Institute,Russian Federation,"15,248",11.7,9%,28 : 72,10.7–22.1,24.1,11.7,3.0,64.6,23.5
1001+,Moscow Power Engineering Institute,Russian Federation,"11,422",14.7,10%,37 : 63,10.7–22.1,18.7,10.7,5.8,56.5,27.4
1001+,Multimedia University,Malaysia,"11,080",13.3,9%,45 : 55,10.7–22.1,16.5,9.6,11.4,37.4,37.1
1001+,University of Mumbai,India,"7,874",18.1,0%,47 : 53,10.7–22.1,31.1,10.2,17.2,35.0,17.6
1001+,University of Mysore,India,"7,810",21.3,10%,39 : 61,10.7–22.1,31.3,8.2,8.4,34.8,30.6
1001+,Nagaoka University of Technology,Japan,"2,300",10.7,12%,11 : 89,10.7–22.1,24.7,14.6,11.7,41.7,32.8
1001+,Nagasaki University,Japan,"9,163",7.0,4%,37 : 63,10.7–22.1,25.9,14.4,23.3,39.0,27.8
1001+,Nagoya City University,Japan,"4,444",7.6,2%,53 : 47,10.7–22.1,23.2,14.0,27.7,45.5,19.4
1001+,Nagoya Institute of Technology,Japan,"5,661",16.2,4%,15 : 85,10.7–22.1,18.8,19.4,12.8,49.0,22.7
1001+,Nanjing University of Aeronautics and Astronautics,China,"29,542",16.6,3%,27 : 73,10.7–22.1,20.8,21.1,19.8,65.5,18.4
1001+,Nara Medical University,Japan,"1,240",3.3,1%,47 : 53,10.7–22.1,24.8,11.0,21.2,39.3,15.3
1001+,Naresuan University,Thailand,"22,863",15.6,1%,66 : 34,10.7–22.1,16.7,7.8,12.6,34.9,35.9
1001+,National Changhua University of Education,Taiwan,"8,180",21.8,8%,52 : 48,10.7–22.1,20.3,18.6,12.1,37.4,24.3
1001+,National Chiayi University,Taiwan,"12,219",26.3,3%,48 : 52,10.7–22.1,14.8,12.1,8.2,65.6,18.0
1001+,National Chin-Yi University of Technology,Taiwan,"7,158",24.9,4%,39 : 61,10.7–22.1,14.0,19.4,4.4,44.7,16.9
1001+,National Chung Cheng University,Taiwan,"10,161",14.9,5%,42 : 58,10.7–22.1,19.1,18.3,13.7,41.3,21.2
1001+,National Chung Hsing University,Taiwan,"15,077",14.9,5%,40 : 60,10.7–22.1,20.8,16.5,19.0,47.1,24.2
1001+,National University of Colombia,Colombia,"52,085",22.4,1%,38 : 62,10.7–22.1,19.0,14.5,26.1,35.4,35.7
1001+,National University of Córdoba,Argentina,"59,450",10.4,3%,68 : 32,10.7–22.1,20.6,9.2,21.2,35.1,34.3
1001+,National University of Cuyo,Argentina,"46,096",9.6,2%,61 : 39,10.7–22.1,18.0,7.1,25.7,34.4,37.2
1001+,National University of Kaohsiung,Taiwan,"5,550",23.3,4%,45 : 55,10.7–22.1,13.6,16.1,6.1,38.6,25.5
1001+,Instituto Politécnico Nacional (IPN),Mexico,"177,983",10.8,0%,39 : 61,10.7–22.1,17.6,9.0,10.7,40.4,21.8
1001+,National Research Saratov State University,Russian Federation,"9,847",9.7,7%,61 : 39,10.7–22.1,20.7,11.7,25.7,38.1,29.7
1001+,National University of San Martín,Argentina,"15,236",15.8,5%,65 : 35,10.7–22.1,16.5,8.8,31.9,35.0,39.1
1001+,National University of the South,Argentina,"20,987",16.0,%,58 : 42,10.7–22.1,16.4,7.4,7.7,35.8,25.9
1001+,National Taipei University,Taiwan,"8,645",17.0,4%,54 : 46,10.7–22.1,19.5,14.9,25.3,35.8,25.1
1001+,National Taiwan Ocean University,Taiwan,"8,652",21.6,9%,32 : 68,10.7–22.1,18.5,21.5,17.1,52.8,29.9
1001+,National Technical University Kharkiv Polytechnic Institute,Ukraine,"13,411",8.4,9%,32 : 68,10.7–22.1,19.6,7.8,5.4,34.9,27.5
1001+,National Yunlin University of Science and Technology,Taiwan,"9,215",24.9,4%,42 : 58,10.7–22.1,17.2,26.4,7.3,89.9,18.7
1001+,Nicolaus Copernicus University in Toruń,Poland,"22,438",11.1,2%,71 : 29,10.7–22.1,18.8,10.5,22.3,35.4,25.9
1001+,University of Nigeria Nsukka,Nigeria,"34,227",13.2,1%,51 : 49,10.7–22.1,23.0,8.6,18.6,35.2,23.8
1001+,Slovak University of Agriculture in Nitra,Slovakia,"6,570",14.1,2%,57 : 43,10.7–22.1,17.7,8.4,9.7,36.2,37.5
1001+,University of North Carolina Wilmington,United States,"14,791",19.6,2%,62 : 38,10.7–22.1,15.9,7.7,23.3,35.1,26.5
1001+,North China Electric Power University,China,"30,733",16.6,2%,37 : 63,10.7–22.1,17.3,11.9,28.5,55.9,16.6
1001+,"University of the North, Colombia",Colombia,"14,228",20.5,3%,51 : 49,10.7–22.1,15.0,10.9,11.5,36.7,51.4
1001+,University of North Florida,United States,"12,132",17.7,2%,57 : 43,10.7–22.1,24.8,10.5,25.7,34.6,24.0
1001+,Novosibirsk State Technical University,Russian Federation,"11,640",11.4,20%,44 : 56,10.7–22.1,20.5,12.6,14.9,38.2,34.6
1001+,Oakland University,United States,"15,887",18.9,4%,57 : 43,10.7–22.1,25.5,12.7,24.5,35.3,28.9
1001+,Ocean University of China,China,"32,059",17.5,4%,52 : 48,10.7–22.1,20.3,15.6,26.1,44.7,23.0
1001+,Ochanomizu University,Japan,"2,775",14.8,4%,100 : 0,10.7–22.1,23.3,12.7,13.0,37.8,23.9
1001+,Oita University,Japan,"5,693",9.2,1%,37 : 63,10.7–22.1,19.4,9.2,20.4,37.5,17.9
1001+,Ondokuz Mayis University,Turkey,"36,179",33.0,6%,51 : 49,10.7–22.1,15.5,8.9,6.7,38.4,22.1
1001+,Osaka Medical College,Japan,"1,248",2.7,1%,49 : 51,10.7–22.1,27.2,10.3,12.4,36.5,15.4
1001+,Osaka Prefecture University,Japan,"7,746",10.1,4%,36 : 64,10.7–22.1,22.4,13.5,20.2,41.5,22.4
1001+,University of Ostrava,Czech Republic,"8,872",18.3,9%,70 : 30,10.7–22.1,16.7,13.5,29.2,34.5,40.4
1001+,University of Pardubice,Czech Republic,"7,266",13.7,7%,55 : 45,10.7–22.1,17.8,15.4,10.3,35.5,28.2
1001+,Paris Nanterre University,France,"33,434",36.3,17%,62 : 38,10.7–22.1,23.8,16.8,13.9,34.7,50.9
1001+,Perm National Research Polytechnic University,Russian Federation,"8,922",9.0,7%,35 : 65,10.7–22.1,19.3,10.5,2.1,54.9,20.3
1001+,Perm State University,Russian Federation,"9,252",10.5,1%,62 : 38,10.7–22.1,18.1,9.7,3.3,37.9,18.5
1001+,University of Peshawar,Pakistan,"5,647",10.7,2%,40 : 60,10.7–22.1,25.2,10.7,15.0,34.4,34.2
1001+,Pirogov Russian National Research Medical University,Russian Federation,"8,078",6.3,6%,72 : 28,10.7–22.1,23.2,9.5,3.5,37.9,21.0
1001+,PMAS Arid Agriculture University Rawalpindi,Pakistan,"12,452",52.1,0%,39 : 61,10.7–22.1,13.9,8.8,19.1,34.4,34.7
1001+,Polytechnic University of Bucharest,Romania,"29,437",13.5,3%,36 : 64,10.7–22.1,16.8,10.0,12.9,34.4,21.4
1001+,Polytechnic University of Timişoara,Romania,"12,646",20.4,3%,37 : 63,10.7–22.1,14.2,8.2,17.1,35.5,20.0
1001+,Universidad Pontificia Bolivariana (UPB),Colombia,"15,118",12.6,1%,55 : 45,10.7–22.1,17.5,8.9,7.8,34.7,35.2
1001+,Pontifical Catholic University of Minas Gerais,Brazil,"34,101",21.3,0%,57 : 43,10.7–22.1,15.3,7.7,6.7,35.1,19.4
1001+,Pontifícia Universidade Católica do Paraná,Brazil,"23,714",23.0,1%,53 : 47,10.7–22.1,17.4,10.2,23.7,35.9,27.1
1001+,Pontifical Catholic University of Valparaíso,Chile,"15,935",24.4,1%,42 : 58,10.7–22.1,17.3,15.9,16.0,50.0,48.6
1001+,Prince of Songkla University,Thailand,"39,257",15.8,2%,69 : 31,10.7–22.1,18.1,10.1,17.6,35.4,32.6
1001+,PSG College of Technology,India,"8,325",14.6,0%,38 : 62,10.7–22.1,19.8,9.5,12.8,34.9,13.6
1001+,Riga Technical University,Latvia,"10,805",29.8,11%,36 : 64,10.7–22.1,19.5,17.5,20.1,55.5,43.0
1001+,Universidade do Estado do Rio de Janeiro (UERJ),Brazil,"22,879",8.9,0%,57 : 43,10.7–22.1,24.2,10.9,15.2,38.1,21.6
1001+,Ritsumeikan University,Japan,"34,413",18.3,6%,35 : 65,10.7–22.1,19.1,13.2,16.6,36.8,33.6
1001+,Robert Gordon University,United Kingdom,"9,489",20.4,22%,62 : 38,10.7–22.1,16.8,11.3,23.3,35.2,75.0
1001+,University of the Ryukyus,Japan,"8,222",10.9,2%,38 : 62,10.7–22.1,19.2,11.8,15.1,45.2,26.7
1001+,Saga University,Japan,"6,799",9.6,2%,39 : 61,10.7–22.1,21.5,12.4,18.8,47.6,22.9
1001+,Saitama University,Japan,"8,579",14.3,5%,33 : 67,10.7–22.1,19.1,13.0,22.8,36.4,31.7
1001+,Saitama Medical University,Japan,"1,909",1.5,0%,49 : 51,10.7–22.1,23.6,9.6,28.0,38.1,15.1
1001+,Samara National Research University (Samara University),Russian Federation,"9,660",10.6,11%,51 : 49,10.7–22.1,18.3,12.4,31.0,46.6,30.2
1001+,Universidade do Estado de Santa Catarina,Brazil,"12,922",11.9,1%,52 : 48,10.7–22.1,18.1,9.3,19.6,34.5,16.0
1001+,"University of Santiago, Chile (USACH)",Chile,"22,818",24.3,2%,42 : 58,10.7–22.1,16.2,14.2,12.1,38.1,45.6
1001+,University of Sargodha,Pakistan,"26,206",34.0,0%,51 : 49,10.7–22.1,11.7,8.3,10.5,34.4,39.5
1001+,SASTRA University,India,"12,234",14.5,0%,52 : 48,10.7–22.1,17.0,11.9,31.9,34.9,14.0
1001+,Sathyabama Institute of Science and Technology,India,"14,381",16.9,1%,49 : 51,10.7–22.1,18.3,9.0,10.2,35.0,15.8
1001+,University of Sciences and Technology Houari Boumediene,Algeria,"41,865",22.5,1%,58 : 42,10.7–22.1,16.1,7.5,8.1,34.9,35.6
1001+,University of Science and Technology of Oran Mohamed-Boudiaf,Algeria,"22,049",11.7,2%,52 : 48,10.7–22.1,18.9,7.1,7.1,34.8,38.3
1001+,Sechenov University,Russian Federation,"15,354",8.2,16%,78 : 22,10.7–22.1,24.5,10.0,2.6,37.8,36.7
1001+,Selçuk University,Turkey,"48,591",19.4,4%,41 : 59,10.7–22.1,15.5,8.5,17.7,34.7,19.8
1001+,Semnan University,Iran,"12,496",15.4,1%,50 : 50,10.7–22.1,16.9,9.9,39.3,34.4,16.5
1001+,Seoul National University of Science and Technology (SeoulTech),South Korea,"11,912",17.2,4%,34 : 66,10.7–22.1,17.7,13.5,15.7,39.4,21.5
1001+,University of Sfax,Tunisia,"32,178",13.5,1%,69 : 31,10.7–22.1,28.9,10.4,17.3,34.4,39.7
1001+,Shahed University,Iran,"6,350",19.4,0%,55 : 45,10.7–22.1,19.3,11.6,10.6,37.2,14.5
1001+,Shahid Bahonar University of Kerman,Iran,"14,998",23.5,0%,58 : 42,10.7–22.1,17.8,13.7,15.1,41.6,15.1
1001+,Shahid Chamran University of Ahvaz,Iran,"12,309",21.1,2%,61 : 39,10.7–22.1,27.2,18.4,16.2,66.2,16.3
1001+,Shahrekord University,Iran,"7,378",22.8,0%,59 : 41,10.7–22.1,15.6,11.1,35.5,34.8,15.6
1001+,Shahrood University of Technology,Iran,"8,448",24.6,0%,44 : 56,10.7–22.1,17.7,13.8,27.8,35.9,18.2
1001+,Shibaura Institute of Technology Tokyo,Japan,"7,886",24.0,16%,20 : 80,10.7–22.1,16.4,12.5,10.0,41.3,39.3
1001+,Shiga University of Medical Science,Japan,"1,164",3.1,2%,43 : 57,10.7–22.1,25.5,10.2,27.2,42.3,20.0
1001+,Shimane University,Japan,"6,086",7.6,2%,36 : 64,10.7–22.1,21.5,11.2,14.8,37.8,20.7
1001+,Shinshu University,Japan,"10,812",10.3,3%,32 : 68,10.7–22.1,21.5,14.4,27.9,40.8,24.5
1001+,Shiraz University of Medical Sciences,Iran,"10,465",10.9,2%,58 : 42,10.7–22.1,16.2,10.7,20.7,35.1,16.5
1001+,Shizuoka University,Japan,"9,956",13.6,3%,29 : 71,10.7–22.1,17.7,13.4,14.7,38.9,27.6
1001+,University of Shizuoka,Japan,"3,002",11.6,3%,61 : 39,10.7–22.1,20.9,11.9,13.5,38.1,20.3
1001+,Showa University,Japan,"3,659",2.1,1%,59 : 41,10.7–22.1,30.3,8.7,20.0,36.4,16.6
1001+,Siberian Federal University,Russian Federation,"23,800",16.7,4%,48 : 52,10.7–22.1,18.1,12.8,6.8,60.5,29.0
1001+,Siksha ‘O’ Anusandhan,India,"11,703",9.9,0%,47 : 53,10.7–22.1,19.1,7.9,19.9,34.7,13.1
1001+,University of Silesia in Katowice,Poland,"24,174",12.8,3%,64 : 36,10.7–22.1,18.1,8.8,18.9,34.5,26.0
1001+,Silesian University of Technology,Poland,"20,646",12.6,1%,34 : 66,10.7–22.1,16.4,9.3,31.7,36.9,16.0
1001+,Silpakorn University,Thailand,"24,542",19.8,3%,69 : 31,10.7–22.1,15.5,8.3,13.6,39.9,27.5
1001+,Simón Bolívar University,Venezuela,"10,273",24.9,0%,46 : 54,10.7–22.1,16.9,9.9,13.8,61.1,45.9
1001+,Slovak University of Technology in Bratislava,Slovakia,"13,108",13.3,3%,34 : 66,10.7–22.1,22.5,12.4,9.8,37.1,27.8
1001+,Sofia University,Bulgaria,"21,988",9.3,6%,65 : 35,10.7–22.1,20.7,9.6,14.2,35.3,43.7
1001+,Sohag University,Egypt,"52,056",28.8,0%,58 : 42,10.7–22.1,13.8,7.4,35.3,34.7,43.5
1001+,University of Sonora,Mexico,"29,921",20.9,1%,53 : 47,10.7–22.1,13.9,7.4,9.2,34.5,28.2
1001+,Soongsil University,South Korea,"15,516",18.3,6%,42 : 58,10.7–22.1,20.8,10.7,15.2,36.1,25.7
1001+,Sophia University,Japan,"13,369",24.2,9%,56 : 44,10.7–22.1,21.6,11.6,14.3,36.0,40.3
